country,country_name,year,inflation_cpi_pct,interest_rate_pct,exports_pct_gdp,imports_pct_gdp,gdp_current_usd,gdp_growth_pct,unemployment_rate_pct
AR,Argentina,2018-01-01,34.2772237131003,4.56440909873515,14.4366857499034,16.3258502050892,524819892360.176,-2.61739646282038,9.22
AR,Argentina,2019-01-01,53.5483043492339,12.1039696489828,17.9248783778462,14.7057366680037,447754683615.225,-2.00086100285785,9.843
AR,Argentina,2020-01-01,42.0150947376509,-7.63517421630372,16.6054144372484,13.5982843701675,385740508436.965,-9.9004848136464,11.461
AR,Argentina,2021-01-01,48.4093786255199,-11.8618379621172,18.0667091690365,15.0119803984295,486564085480.036,10.4418119882506,8.736
AR,Argentina,2022-01-01,72.430757531824,-9.81968419782897,16.2816677253254,15.2985115353002,633993756301.08,6.02074537534855,6.805
AR,Argentina,2023-01-01,133.488935594175,-17.2542810000345,12.8223120961047,13.8546391521167,649461687959.174,-1.85578803046339,6.139
AR,Argentina,2024-01-01,219.883929014578,-47.4304580263773,15.2497485928824,12.6800122564846,638365455340.04,-1.34293072157739,7.15
AU,Australia,2000-01-01,4.45743514797224,5.03411252620181,19.356082688226,21.5070430809694,416901962163.479,3.9160574881715,6.288
AU,Australia,2001-01-01,4.40713536201469,2.10299461437177,22.1097572675813,22.0239741296115,380360222861.197,2.03145880248898,6.747
AU,Australia,2002-01-01,2.98157453936348,3.42491629064352,20.6927681028396,20.6885447118526,396436967262.563,3.94980535772942,6.375
AU,Australia,2003-01-01,2.73259596616786,3.51968278100984,19.0255629975486,21.1092381818995,468517181129.878,3.0912800997751,5.933
AU,Australia,2004-01-01,2.34325522482583,3.69949132705322,17.1350628732794,19.8154530885495,615643050220.515,4.21894147547516,5.399
AU,Australia,2005-01-01,2.69183168316832,3.30680627260577,18.1951172148922,20.9027650415889,696811489612.816,3.15548121323168,5.036
AU,Australia,2006-01-01,3.55528773727026,2.37921843259392,19.8193564623907,21.6685358865245,749708370332.989,2.7709261737475,4.785
AU,Australia,2007-01-01,2.32761128891476,3.05876012508835,20.1458953527592,21.783849774897,856603595823.192,3.78947119882653,4.381
AU,Australia,2008-01-01,4.35029854990048,4.15102038072407,20.1044121403643,22.6478086476665,1058448244063.77,3.62398503565633,4.242
AU,Australia,2009-01-01,1.77111716621254,0.980313225386648,22.9369071089635,22.6567049778154,931761689770.843,1.95484826298522,5.565
AU,Australia,2010-01-01,2.91834002677376,6.04356005483096,19.7322237124156,20.658283373645,1152566632022.13,2.21004795300735,5.214
AU,Australia,2011-01-01,3.3038501560874,1.44878757207191,21.3710952598475,20.3508907551214,1402939868653.4,2.39473494330615,5.083
AU,Australia,2012-01-01,1.76278015613196,5.08629843609618,21.4212330245448,21.598616528211,1552728401401.58,3.95247138119184,5.225
AU,Australia,2013-01-01,2.4498886414254,6.31873407967246,19.8931411047873,21.2073707762687,1583737461925.39,2.65445302592404,5.663
AU,Australia,2014-01-01,2.48792270531404,4.46963335705945,20.9959179912807,21.3033915472475,1474677007565.64,2.60118978187332,6.078
AU,Australia,2015-01-01,1.50836672165921,6.24156802765539,19.9846454503255,21.5101052436646,1356805839935.9,2.16434780647852,6.055
AU,Australia,2016-01-01,1.27699094497324,6.13556882319326,19.2031438783351,21.6102583389859,1211588128417.61,2.75564065529868,5.711
AU,Australia,2017-01-01,1.94864740944527,1.54300485864138,21.1718412211076,20.8635723040778,1330890554614.09,2.29331030192918,5.592
AU,Australia,2018-01-01,1.91140094445691,3.35275994582846,21.8125736575066,21.7606517070152,1433144978761.67,2.87417039499501,5.345
AU,Australia,2019-01-01,1.61076787290379,1.56982320729507,24.0624800210722,21.939202684145,1398349602956.35,2.19401703622717,5.143
BR,Brazil,2000-01-01,7.04414105947266,48.5047281831843,10.1880480058491,12.4517133531264,655448188259.351,4.38794944364869,10.889
BR,Brazil,2001-01-01,6.84035902487523,45.6378187168126,12.3717106723871,14.5645743525559,559983704094.17,1.3898964044581,10.649
BR,Brazil,2002-01-01,8.45016437708331,48.3404374497978,14.2305902741157,13.3877671336016,509795270685.19,3.05346185683619,10.641
BR,Brazil,2003-01-01,14.7149197228147,46.447398837078,15.1807837057459,12.959601015803,558233724164.711,1.14082899877101,11.168
BR,Brazil,2004-01-01,6.59718509985963,43.7791527215823,16.5457615138976,13.1324909664519,669289321944.512,5.75996463685998,10.072
BR,Brazil,2005-01-01,6.86953720898964,44.6351688572486,15.2438292651669,11.842965940081,891633826625.407,3.20213206216255,10.551
BR,Brazil,2006-01-01,4.18356812896909,41.240326487245,14.3743163021339,11.6673835858106,1107626711163.23,3.96198870899485,9.692
BR,Brazil,2007-01-01,3.64127299102652,35.022515450831,13.3276751043,11.9649362714806,1397114247188.89,6.06987060733128,9.28
BR,Brazil,2008-01-01,5.67859390284168,35.3667577888094,13.534000513391,13.7235689032042,1695855391757.96,5.09419544811998,8.268
BR,Brazil,2009-01-01,4.88803479876799,34.792009638163,10.8513711350383,11.2546044710328,1666996294252.12,-0.12581200299141,9.419
BR,Brazil,2010-01-01,5.03872690108075,29.1158055183638,10.8655847760176,11.9065933372032,2208838108484.35,7.52822581812151,8.42
BR,Brazil,2011-01-01,6.6364496221309,32.8334595056712,11.5825126792652,12.3518924972451,2616156606579.21,3.97442307944702,7.578
BR,Brazil,2012-01-01,5.40349914036997,26.582090535334,11.8775390706917,13.2367345396404,2465228293706.86,1.92117598509462,7.251
BR,Brazil,2013-01-01,6.20431066640101,18.4988444169071,11.7422306467311,14.0437266814141,2472819362043.74,3.0048226702888,7.071
BR,Brazil,2014-01-01,6.32904015516139,22.4036724327293,11.0119428189165,13.6734629943755,2456043766032.38,0.503955740273241,6.755
BR,Brazil,2015-01-01,9.02990102416136,33.8323439713292,12.9001914186486,14.0534345185884,1802211999456.42,-3.54576339347278,8.538
