month,country,gdp_growth,exports,imports,inflation,unemployment,dgs10_yield_pct,sentiment_score,currency crisis,debt crisis,year,interest_rate,gdp_growth_lag1,gdp_growth_lag3,gdp_growth_lag6,inflation_lag1,inflation_lag3,inflation_lag6,unemployment_lag1,unemployment_lag3,unemployment_lag6,interest_rate_lag1,interest_rate_lag3,interest_rate_lag6,gdp_growth_roll3,gdp_growth_roll6,inflation_roll3,inflation_roll6,unemployment_roll3,unemployment_roll6,interest_rate_roll3,interest_rate_roll6,gdp_growth_momentum,inflation_momentum,unemployment_momentum,interest_rate_momentum,stress_index,risk_label
9,THA,134300904400.022,60.6457526009701,54.3239904200966,0.697308976625449,1.82,3.152272727272727,,,,2002,2.697308976625449,134300904400.022,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,0.697308976625449,1.82,1.82,1.82,2.697308976625449,2.697308976625449,2.697308976625449,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,1.82,1.82,2.697308976625449,2.697308976625449,0.0,0.0,0.0,0.0,-40290271319.18168,0
10,THA,134300904400.022,60.6457526009701,54.3239904200966,0.697308976625449,1.82,3.152272727272727,,,,2002,2.697308976625449,134300904400.022,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,0.697308976625449,1.82,1.82,1.82,2.697308976625449,2.697308976625449,2.697308976625449,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,1.82,1.82,2.697308976625449,2.697308976625449,0.0,0.0,0.0,0.0,-40290271319.18168,0
11,THA,134300904400.022,60.6457526009701,54.3239904200966,0.697308976625449,1.82,3.152272727272727,,,,2002,2.697308976625449,134300904400.022,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,0.697308976625449,1.82,1.82,1.82,2.697308976625449,2.697308976625449,2.697308976625449,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,1.82,1.82,2.697308976625449,2.697308976625449,0.0,0.0,0.0,0.0,-40290271319.18168,0
12,THA,134300904400.022,60.6457526009701,54.3239904200966,0.697308976625449,1.82,3.152272727272727,,,,2002,2.697308976625449,134300904400.022,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,0.697308976625449,1.82,1.82,1.82,2.697308976625449,2.697308976625449,2.697308976625449,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,1.82,1.82,2.697308976625449,2.697308976625449,0.0,0.0,0.0,0.0,-40290271319.18168,0
1,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,134300904400.022,134300904400.022,134300904400.022,0.697308976625449,0.697308976625449,0.697308976625449,1.82,1.82,1.82,2.697308976625449,2.697308976625449,2.697308976625449,140294141348.64368,137297522874.33284,1.0663226332027025,0.8818158049140759,1.7266666666666666,1.7733333333333334,3.0663226332027023,2.881815804914076,17979710845.86499,1.107040969731761,-0.28,1.1070409697317607,-45684184572.58236,0
2,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,134300904400.022,134300904400.022,1.80434994635721,0.697308976625449,0.697308976625449,1.54,1.82,1.82,3.8043499463572097,2.697308976625449,2.697308976625449,146287378297.26535,140294141348.64368,1.4353362897799562,1.0663226332027025,1.6333333333333335,1.7266666666666666,3.4353362897799564,3.0663226332027023,17979710845.86499,1.107040969731761,-0.28,1.1070409697317607,-45684184572.58236,0
3,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,134300904400.022,134300904400.022,1.80434994635721,0.697308976625449,0.697308976625449,1.54,1.82,1.82,3.8043499463572097,2.697308976625449,2.697308976625449,152280615245.887,143290759822.9545,1.80434994635721,1.2508294614913293,1.54,1.68,3.8043499463572097,3.2508294614913296,17979710845.86499,1.107040969731761,-0.28,1.1070409697317607,-45684184572.58236,0
4,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,134300904400.022,1.80434994635721,1.80434994635721,0.697308976625449,1.54,1.54,1.82,3.8043499463572097,3.8043499463572097,2.697308976625449,152280615245.887,146287378297.26535,1.80434994635721,1.4353362897799562,1.54,1.6333333333333335,3.8043499463572097,3.435336289779956,0.0,0.0,0.0,0.0,-45684184572.58236,0
5,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,134300904400.022,1.80434994635721,1.80434994635721,0.697308976625449,1.54,1.54,1.82,3.8043499463572097,3.8043499463572097,2.697308976625449,152280615245.887,149283996771.57617,1.80434994635721,1.619843118068583,1.54,1.5866666666666667,3.8043499463572097,3.6198431180685833,0.0,0.0,0.0,0.0,-45684184572.58236,0
6,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,134300904400.022,1.80434994635721,1.80434994635721,0.697308976625449,1.54,1.54,1.82,3.8043499463572097,3.8043499463572097,2.697308976625449,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.54,1.54,3.8043499463572097,3.8043499463572097,0.0,0.0,0.0,0.0,-45684184572.58236,0
