country,month,y_true,y_pred,y_prob
GBR,2018-04-30,0,0,0.2482578515889178
ARG,2018-04-30,0,1,0.7861682809140436
DEU,2018-04-30,0,0,0.24241211011210717
ISR,2018-04-30,0,0,0.22954586811725397
ITA,2018-05-31,0,0,0.19350671542465328
JPN,2018-05-31,0,0,0.2154674471917669
CHE,2018-05-31,0,0,0.19018651032242465
BRA,2018-05-31,0,0,0.2693847839353176
SGP,2018-05-31,0,0,0.18936098965822687
BEL,2018-05-31,0,0,0.19591823906113873
CHN,2018-05-31,0,0,0.24604305366060839
TUR,2018-05-31,0,0,0.36298513968741225
DEU,2018-05-31,0,0,0.2800072612876667
RUS,2018-05-31,0,0,0.20234004218091595
SWE,2018-05-31,0,0,0.20368167259895387
ARG,2018-05-31,0,1,0.7891217720615572
ISR,2018-05-31,0,0,0.20213995101286508
SAU,2018-05-31,0,0,0.2326222720961905
MEX,2018-05-31,0,0,0.36629555347275744
USA,2018-05-31,0,0,0.23152545706561534
IDN,2018-05-31,0,0,0.2657523274260499
NLD,2018-05-31,0,0,0.19031068117205532
NOR,2018-05-31,0,0,0.22990618905215424
IND,2018-05-31,0,0,0.5295976835055692
KOR,2018-05-31,0,0,0.2591519585276785
FRA,2018-05-31,0,0,0.27429569001828336
ESP,2018-05-31,0,0,0.24115609502930813
THA,2018-05-31,0,0,0.1937497175106545
CAN,2018-05-31,0,0,0.28214173061723197
IRL,2018-05-31,0,0,0.18693367530763838
ARE,2018-05-31,0,0,0.2064854617512115
POL,2018-05-31,0,0,0.19502015197062983
AUS,2018-05-31,0,0,0.2634272883337974
GBR,2018-05-31,0,0,0.3619591003325871
IND,2018-06-30,0,1,0.7117888363390015
THA,2018-06-30,0,0,0.20739661766635684
AUS,2018-06-30,0,0,0.24133788151687388
KOR,2018-06-30,0,0,0.501901400842219
IDN,2018-06-30,0,0,0.25096792829068487
BRA,2018-06-30,0,0,0.2855892866206265
BEL,2018-06-30,0,0,0.19879322114433415
ARG,2018-06-30,0,1,0.7640339600141437
FRA,2018-06-30,0,0,0.3506069374930141
TUR,2018-06-30,0,1,0.7644450047880746
SWE,2018-06-30,0,0,0.1932548701612681
DEU,2018-06-30,0,0,0.2846309411949803
ARE,2018-06-30,0,0,0.3139651774517688
SGP,2018-06-30,0,0,0.20640353807993797
CHN,2018-06-30,0,0,0.37673878491489665
IRL,2018-06-30,0,0,0.20831335948851745
CHE,2018-06-30,0,0,0.20734733768563055
GBR,2018-06-30,0,0,0.23755364817002955
POL,2018-06-30,0,0,0.1974859727474213
USA,2018-06-30,0,0,0.5894969604081007
MEX,2018-06-30,0,1,0.7245298956143668
JPN,2018-06-30,0,0,0.3759340245148672
CAN,2018-06-30,0,0,0.4339945333476343
SAU,2018-06-30,0,1,0.6655388897910587
NLD,2018-06-30,0,0,0.19872303361774024
ITA,2018-06-30,0,0,0.35337912544801475
RUS,2018-06-30,0,0,0.5490200591478401
ESP,2018-06-30,0,0,0.49380826322707927
ISR,2018-06-30,0,0,0.2875190373545059
NOR,2018-06-30,0,0,0.5529851709525953
ESP,2018-07-31,0,0,0.25907578901974243
AUS,2018-07-31,0,0,0.4518691555436889
DEU,2018-07-31,0,0,0.5523085499000705
SGP,2018-07-31,0,0,0.20542117685316078
TUR,2018-07-31,0,1,0.7486131913791434
ISR,2018-07-31,0,0,0.2751778821171976
FRA,2018-07-31,0,0,0.34879874024252855
IND,2018-07-31,0,0,0.5219728485045657
JPN,2018-07-31,0,0,0.24359310203192805
ARG,2018-07-31,0,1,0.7853080601666154
BEL,2018-07-31,0,0,0.19568570582668196
ITA,2018-07-31,0,0,0.2964617877256168
CAN,2018-07-31,0,0,0.518560663641729
GBR,2018-07-31,0,0,0.5918828885296976
SAU,2018-07-31,0,0,0.4826432505957336
POL,2018-07-31,0,0,0.19661238870184902
ARE,2018-07-31,0,0,0.2518621919333302
KOR,2018-07-31,0,0,0.44281085084995125
IRL,2018-07-31,0,0,0.21461530940671059
IDN,2018-07-31,0,1,0.6004939366878536
NLD,2018-07-31,0,0,0.19837271753284083
CHE,2018-07-31,0,0,0.19897191143301649
USA,2018-07-31,0,1,0.6186833095377464
MEX,2018-07-31,0,1,0.7212629438142177
SWE,2018-07-31,0,0,0.21634856518192916
CHN,2018-07-31,0,0,0.2860134158732264
NOR,2018-07-31,0,0,0.47835245886624095
BRA,2018-07-31,0,1,0.6506772643874156
RUS,2018-07-31,0,0,0.41725641047817863
THA,2018-07-31,0,0,0.20227247739204446
RUS,2018-08-31,0,0,0.29294673107701535
ARG,2018-08-31,0,1,0.775261582671007
SAU,2018-08-31,0,1,0.6242426201991207
KOR,2018-08-31,0,0,0.32536792428330125
GBR,2018-08-31,0,0,0.5139142267489628
SGP,2018-08-31,0,0,0.2681012954763552
ITA,2018-08-31,0,0,0.24357670176754484
NOR,2018-08-31,0,1,0.6891243901305769
CHN,2018-08-31,0,0,0.42769178473310404
ISR,2018-08-31,0,0,0.4272905884784941
CAN,2018-08-31,0,0,0.5377516074824201
ARE,2018-08-31,0,0,0.23283537996256246
ESP,2018-08-31,0,0,0.4389808494221299
NLD,2018-08-31,0,0,0.2023344847682973
MEX,2018-08-31,0,1,0.7578820840045776
BEL,2018-08-31,0,0,0.20411146743030242
IDN,2018-08-31,0,1,0.6083392314910633
POL,2018-08-31,0,0,0.2116348099728277
CHE,2018-08-31,0,0,0.19061361820778763
THA,2018-08-31,0,0,0.19992527552778547
DEU,2018-08-31,0,0,0.2889121133745698
JPN,2018-08-31,0,0,0.33590727646496804
SWE,2018-08-31,0,0,0.19619093217844155
AUS,2018-08-31,0,0,0.34955826440558946
IND,2018-08-31,0,1,0.7704989325230541
FRA,2018-08-31,0,0,0.3707699233439505
IRL,2018-08-31,0,0,0.21239565972647245
BRA,2018-08-31,0,0,0.5129201386627464
TUR,2018-08-31,0,1,0.777445929205982
USA,2018-08-31,0,0,0.5546956259769527
BRA,2018-09-30,0,1,0.6079044039952172
NLD,2018-09-30,0,0,0.1975233813129383
POL,2018-09-30,0,0,0.2369047565240335
IRL,2018-09-30,0,0,0.20333295760286343
JPN,2018-09-30,0,0,0.40926696373898364
CAN,2018-09-30,0,1,0.6715276784928642
IDN,2018-09-30,0,0,0.42805114150481743
MEX,2018-09-30,0,1,0.6636198725030849
GBR,2018-09-30,0,0,0.4764182234150606
KOR,2018-09-30,0,0,0.5181579161056747
TUR,2018-09-30,0,1,0.7747937954017939
USA,2018-09-30,0,1,0.6422103948406358
IND,2018-09-30,0,1,0.7086158473305072
SWE,2018-09-30,0,0,0.2842948741459735
SAU,2018-09-30,0,0,0.2675996061875512
THA,2018-09-30,0,0,0.19700192669008224
RUS,2018-09-30,0,0,0.2367414077178768
ESP,2018-09-30,0,0,0.29798465318306516
BEL,2018-09-30,0,0,0.19378861805536282
AUS,2018-09-30,0,0,0.27668947070282784
DEU,2018-09-30,0,0,0.5139142472034591
FRA,2018-09-30,0,0,0.3472275829382146
ARG,2018-09-30,0,1,0.7734322096507956
ISR,2018-09-30,0,0,0.33018734944541156
SGP,2018-09-30,0,0,0.2080070725657781
NOR,2018-09-30,0,1,0.654271123838019
CHN,2018-09-30,0,0,0.40421192423553626
ARE,2018-09-30,0,0,0.28340767437409037
CHE,2018-09-30,0,0,0.19195179263579973
ITA,2018-09-30,0,0,0.36669676221337993
RUS,2018-10-31,0,0,0.27930608741986723
ARG,2018-10-31,0,1,0.7692816113424518
IDN,2018-10-31,0,0,0.4285277895020136
USA,2018-10-31,0,1,0.6067534771980568
ITA,2018-10-31,0,0,0.21893611665295265
IND,2018-10-31,0,1,0.7429731791556665
ARE,2018-10-31,0,0,0.2617295339185184
BEL,2018-10-31,0,0,0.203465575540364
NLD,2018-10-31,0,0,0.2131067282046649
AUS,2018-10-31,0,0,0.30541419685722465
ESP,2018-10-31,0,0,0.3173303102650113
BRA,2018-10-31,0,1,0.7352998294882047
IRL,2018-10-31,0,0,0.19400485678327573
GBR,2018-10-31,0,0,0.5734149827995804
THA,2018-10-31,0,0,0.21898995492294135
POL,2018-10-31,0,0,0.20040938222164958
TUR,2018-10-31,0,1,0.6982002941952666
FRA,2018-10-31,0,0,0.4360075893300017
KOR,2018-10-31,0,0,0.46403658083548116
CAN,2018-10-31,0,0,0.3832026161268806
SGP,2018-10-31,0,0,0.19475153838698267
CHE,2018-10-31,0,0,0.19045859951022073
NOR,2018-10-31,0,1,0.6779447783407839
MEX,2018-10-31,0,1,0.7704500645246615
DEU,2018-10-31,0,0,0.5174975235298551
CHN,2018-10-31,0,0,0.4274259654493416
JPN,2018-10-31,0,0,0.31676011259646963
ISR,2018-10-31,0,0,0.2777779566662988
SWE,2018-10-31,0,0,0.23322973983767425
SAU,2018-10-31,0,0,0.34862326649816017
NOR,2018-11-30,0,0,0.4290517856919078
THA,2018-11-30,0,0,0.24481630565488058
USA,2018-11-30,0,1,0.724112776576149
IRL,2018-11-30,0,0,0.23126891637631763
AUS,2018-11-30,0,0,0.4183737127600786
BRA,2018-11-30,0,1,0.763410214562656
FRA,2018-11-30,0,0,0.5481529544598523
ESP,2018-11-30,0,0,0.30891682286991484
GBR,2018-11-30,0,0,0.49654691668890427
POL,2018-11-30,0,0,0.22014813821771306
CAN,2018-11-30,0,0,0.3088778790098964
KOR,2018-11-30,0,0,0.34729727108613
CHE,2018-11-30,0,0,0.19091442771588815
ARE,2018-11-30,0,0,0.2982494493272132
DEU,2018-11-30,0,0,0.371762472805828
ISR,2018-11-30,0,0,0.3071824382892102
ARG,2018-11-30,0,1,0.7913477030986161
ITA,2018-11-30,0,0,0.2438666434726647
