month,vix
6/1/2008,22.11047619
7/1/2008,24.32181818
8/1/2008,20.69571429
9/1/2008,30.23857143
10/1/2008,61.1773913
11/1/2008,62.66894737
12/1/2008,52.405
1/1/2009,44.683
2/1/2009,45.57052632
3/1/2009,44.79545455
4/1/2009,38.06380952
5/1/2009,31.978
6/1/2009,29.14045455
7/1/2009,26.16272727
8/1/2009,25.33714286
9/1/2009,24.92666667
10/1/2009,24.25227273
11/1/2009,23.789
12/1/2009,21.23954545
1/1/2010,20.64315789
2/1/2010,22.54
3/1/2010,17.7673913
4/1/2010,17.42428571
5/1/2010,31.9295
6/1/2010,29.91636364
7/1/2010,25.5652381
8/1/2010,24.74590909
9/1/2010,22.51761905
10/1/2010,20.37333333
11/1/2010,20.09571429
12/1/2010,17.56954545
1/1/2011,17.3155
2/1/2011,17.43
3/1/2011,20.72347826
4/1/2011,16.244
5/1/2011,16.91142857
6/1/2011,19.15318182
7/1/2011,19.2275
8/1/2011,35.02913043
9/1/2011,36.53
10/1/2011,32.82904762
11/1/2011,31.94190476
12/1/2011,25.04761905
1/1/2012,20.228
2/1/2012,18.4205
3/1/2012,16.16727273
4/1/2012,17.823
5/1/2012,21.00181818
6/1/2012,21.13095238
7/1/2012,17.5652381
8/1/2012,15.68956522
9/1/2012,15.28473684
10/1/2012,16.27619048
11/1/2012,16.70190476
12/1/2012,17.307
1/1/2013,13.5052381
2/1/2013,14.07263158
3/1/2013,13.0315
4/1/2013,13.96727273
5/1/2013,13.49363636
6/1/2013,17.2715
7/1/2013,13.97454545
8/1/2013,14.21
9/1/2013,14.692
10/1/2013,15.40782609
11/1/2013,12.924
12/1/2013,14.19238095
1/1/2014,14.24095238
2/1/2014,15.47
3/1/2014,14.83666667
4/1/2014,14.19809524
5/1/2014,12.4752381
6/1/2014,11.54142857
7/1/2014,12.29636364
8/1/2014,13.49190476
9/1/2014,13.46666667
10/1/2014,18.05869565
11/1/2014,13.41315789
12/1/2014,16.29227273
1/1/2015,19.1195
2/1/2015,15.90421053
3/1/2015,14.81272727
4/1/2015,13.4947619
5/1/2015,13.3385
6/1/2015,14.33954545
7/1/2015,14.35272727
8/1/2015,19.42809524
9/1/2015,24.37714286
10/1/2015,16.78954545
11/1/2015,16.21
12/1/2015,18.02545455
1/1/2016,23.71789474
2/1/2016,22.517
3/1/2016,15.84909091
4/1/2016,14.30047619
5/1/2016,14.85285714
6/1/2016,17.77454545
7/1/2016,13.1585
8/1/2016,12.39956522
9/1/2016,14.21952381
10/1/2016,14.5852381
11/1/2016,15.23619048
12/1/2016,12.47238095
1/1/2017,11.6085
2/1/2017,11.53052632
3/1/2017,11.89782609
4/1/2017,13.13631579
5/1/2017,10.86227273
6/1/2017,10.51363636
7/1/2017,10.2645
8/1/2017,11.97565217
9/1/2017,10.438
10/1/2017,10.12545455
11/1/2017,10.54047619
12/1/2017,10.2645
1/1/2018,11.06238095
2/1/2018,22.46473684
3/1/2018,19.02380952
4/1/2018,18.26761905
5/1/2018,14.12454545
6/1/2018,13.67809524
7/1/2018,13.14761905
8/1/2018,12.54695652
9/1/2018,12.91052632
10/1/2018,19.35217391
11/1/2018,19.38904762
12/1/2018,24.95315789
1/1/2019,19.57238095
2/1/2019,15.23473684
3/1/2019,14.4852381
4/1/2019,12.94904762
5/1/2019,16.72181818
6/1/2019,15.836
7/1/2019,13.30590909
8/1/2019,18.97909091
9/1/2019,15.559
10/1/2019,15.46652174
11/1/2019,12.5235
12/1/2019,13.75666667
1/1/2020,13.94095238
2/1/2020,19.62894737
3/1/2020,57.73681818
4/1/2020,41.45380952
5/1/2020,30.897
6/1/2020,31.11954545
7/1/2020,26.84045455
8/1/2020,22.88952381
9/1/2020,27.64761905
10/1/2020,29.43863636
11/1/2020,24.9955
12/1/2020,22.37409091
1/1/2021,24.91
2/1/2021,23.14052632
3/1/2021,21.84304348
4/1/2021,17.41619048
5/1/2021,19.7605
6/1/2021,16.95681818
7/1/2021,17.60333333
8/1/2021,17.47272727
9/1/2021,19.8247619
10/1/2021,17.87142857
11/1/2021,18.50047619
12/1/2021,21.35454545
1/1/2022,23.181
