month,sentiment_mean
1/1/2014,-0.152988855
2/1/2014,-1.664525123
3/1/2014,1.166826259
4/1/2014,0.771891784
5/1/2014,-1.364707966
6/1/2014,-3.286688563
1/1/2023,-1.378117836
2/1/2023,-2.117942968
3/1/2023,-1.919268056
4/1/2023,-2.39116532
5/1/2023,-2.303180753
6/1/2023,-1.914249737
12/1/2023,-2.505736956
1/1/2024,-2.206015529
2/1/2024,-2.029525431
3/1/2024,-1.891054505
4/1/2024,-2.250756197
5/1/2024,-2.240032949
6/1/2024,-2.067182247
